date,RECEIVED,FORECAST,HANDLED,,,
8/17/2020,2404,2542,2274,,,
8/18/2020,1922,2057,1764,,,
8/19/2020,1926,1874,1779,,,
8/20/2020,1769,1790,1724,,,
8/21/2020,1933,1842,1643,,,
8/24/2020,2603,2531,2362,,,
8/25/2020,2121,2074,1963,,,
8/26/2020,1837,1894,1778,,,
8/27/2020,1927,1758,1792,,,
8/28/2020,2059,1868,1779,,,
8/31/2020,2678,2659,2204,,,
9/1/2020,2621,2237,2348,,,
9/2/2020,2411,2045,2114,,,
9/3/2020,2276,1906,1998,,,
9/4/2020,1849,1820,1729,,,
9/8/2020,2496,2665,2140,,,
9/9/2020,2098,2391,1917,,,
9/10/2020,1931,2309,1837,,,
9/11/2020,1777,2247,1731,,,
9/14/2020,2299,2582,2221,,,
9/15/2020,2066,2246,1960,,,
9/16/2020,1850,1959,1777,,,
9/17/2020,1616,1858,1579,,,
9/18/2020,1726,1902,1690,,,
9/21/2020,2189,2321,2123,,,
9/22/2020,1914,1980,1834,,,
9/23/2020,1744,1832,1709,,,
9/24/2020,1625,1689,1595,,,
9/25/2020,1738,1756,1702,,,
9/28/2020,2582,2514,2411,,,
9/29/2020,2104,2071,2058,,,
9/30/2020,1954,1810,1851,,,
10/1/2020,2548,1812,2320,,,
10/2/2020,2041,1773,1975,,,
10/5/2020,2717,2662,2627,,,
10/6/2020,2206,2217,2171,,,
10/7/2020,2014,2050,1950,,,
10/8/2020,1971,1890,1872,,,
10/9/2020,2240,1854,2054,,,
10/12/2020,2678,2388,2243,,,
10/13/2020,2617,2291,2329,,,