BUSINESS UNIT,year-month,last date of month,attrition,filled position,Attrition %
Client Transactions,2019-01,1/31/2019,2,47,0.042553191
Participant Transactions,2019-01,1/31/2019,2,59,0.033898305
RAM,2019-01,1/31/2019,2,89,0.02247191
RCS PHONES,2019-01,1/31/2019,2,20,0.1
RIS,2019-01,1/31/2019,2,126,0.015873016
SCS,2019-01,1/31/2019,2,0,#DIV/0!
WISE,2019-01,1/31/2019,2,278,0.007194245
Client Transactions,2019-02,2/28/2019,2,48,0.041666667
Participant Transactions,2019-02,2/28/2019,2,49,0.040816327
RAM,2019-02,2/28/2019,2,106,0.018867925
RCS PHONES,2019-02,2/28/2019,2,26,0.076923077
RIS,2019-02,2/28/2019,2,108,0.018518519
SCS,2019-02,2/28/2019,2,0,#DIV/0!
WISE,2019-02,2/28/2019,2,274,0.00729927
Client Transactions,2019-03,3/31/2019,2,46,0.043478261
Participant Transactions,2019-03,3/31/2019,2,53,0.037735849
RAM,2019-03,3/31/2019,2,97,0.020618557
RCS PHONES,2019-03,3/31/2019,2,25,0.08
RIS,2019-03,3/31/2019,2,122,0.016393443
SCS,2019-03,3/31/2019,2,0,#DIV/0!
WISE,2019-03,3/31/2019,2,259,0.007722008
Client Transactions,2019-04,4/30/2019,2,47,0.042553191
Participant Transactions,2019-04,4/30/2019,2,53,0.037735849
RAM,2019-04,4/30/2019,2,100,0.02
RCS PHONES,2019-04,4/30/2019,2,26,0.076923077
RIS,2019-04,4/30/2019,2,117,0.017094017
SCS,2019-04,4/30/2019,2,0,#DIV/0!
WISE,2019-04,4/30/2019,2,299,0.006688963
Client Transactions,2019-05,5/31/2019,2,44,0.045454545
Participant Transactions,2019-05,5/31/2019,2,53,0.037735849
RAM,2019-05,5/31/2019,2,110,0.018181818
RCS PHONES,2019-05,5/31/2019,2,26,0.076923077
RIS,2019-05,5/31/2019,2,113,0.017699115
SCS,2019-05,5/31/2019,2,0,#DIV/0!
WISE,2019-05,5/31/2019,2,308,0.006493506
Client Transactions,2019-06,6/30/2019,2,43,0.046511628
Participant Transactions,2019-06,6/30/2019,2,55,0.036363636
RAM,2019-06,6/30/2019,2,90,0.022222222
RCS PHONES,2019-06,6/30/2019,2,19,0.105263158
RIS,2019-06,6/30/2019,2,105,0.019047619
SCS,2019-06,6/30/2019,2,0,#DIV/0!
WISE,2019-06,6/30/2019,2,306,0.006535948
Client Transactions,2019-07,7/31/2019,2,42,0.047619048
Participant Transactions,2019-07,7/31/2019,2,52,0.038461538
RAM,2019-07,7/31/2019,2,86,0.023255814
RCS PHONES,2019-07,7/31/2019,2,18,0.111111111
RIS,2019-07,7/31/2019,2,102,0.019607843
SCS,2019-07,7/31/2019,2,0,#DIV/0!
WISE,2019-07,7/31/2019,2,296,0.006756757
Client Transactions,2019-08,8/31/2019,2,43,0.046511628
Participant Transactions,2019-08,8/31/2019,2,57,0.035087719
RAM,2019-08,8/31/2019,2,82,0.024390244
RCS PHONES,2019-08,8/31/2019,2,18,0.111111111
RIS,2019-08,8/31/2019,2,90,0.022222222
SCS,2019-08,8/31/2019,2,0,#DIV/0!
WISE,2019-08,8/31/2019,2,298,0.006711409
Client Transactions,2019-09,9/30/2019,2,42,0.047619048
Participant Transactions,2019-09,9/30/2019,2,60,0.033333333
RAM,2019-09,9/30/2019,2,95,0.021052632
RCS PHONES,2019-09,9/30/2019,2,19,0.105263158
RIS,2019-09,9/30/2019,2,122,0.016393443
SCS,2019-09,9/30/2019,2,0,#DIV/0!
WISE,2019-09,9/30/2019,2,284,0.007042254
Client Transactions,2019-10,10/31/2019,2,40,0.05
Participant Transactions,2019-10,10/31/2019,2,57,0.035087719
RAM,2019-10,10/31/2019,2,93,0.021505376
RCS PHONES,2019-10,10/31/2019,2,19,0.105263158
RIS,2019-10,10/31/2019,2,117,0.017094017
SCS,2019-10,10/31/2019,2,0,#DIV/0!
WISE,2019-10,10/31/2019,2,282,0.007092199
Client Transactions,2019-11,11/30/2019,2,42,0.047619048
Participant Transactions,2019-11,11/30/2019,2,55,0.036363636
RAM,2019-11,11/30/2019,2,87,0.022988506
RCS PHONES,2019-11,11/30/2019,2,17,0.117647059
RIS,2019-11,11/30/2019,2,115,0.017391304
SCS,2019-11,11/30/2019,2,0,#DIV/0!
WISE,2019-11,11/30/2019,2,286,0.006993007
Client Transactions,2019-12,12/31/2019,2,40,0.05
Participant Transactions,2019-12,12/31/2019,2,52,0.038461538
RAM,2019-12,12/31/2019,2,85,0.023529412
RCS PHONES,2019-12,12/31/2019,2,16,0.125
RIS,2019-12,12/31/2019,2,106,0.018867925
SCS,2019-12,12/31/2019,2,0,#DIV/0!
WISE,2019-12,12/31/2019,2,267,0.007490637
Client Transactions,2020-01,1/31/2020,2,40,0.05
Participant Transactions,2020-01,1/31/2020,2,58,0.034482759
RAM,2020-01,1/31/2020,2,79,0.025316456
RCS PHONES,2020-01,1/31/2020,2,19,0.105263158
RIS,2020-01,1/31/2020,2,128,0.015625
SCS,2020-01,1/31/2020,2,0,#DIV/0!
WISE,2020-01,1/31/2020,2,282,0.007092199
Client Transactions,2020-02,2/29/2020,2,41,0.048780488
Participant Transactions,2020-02,2/29/2020,2,58,0.034482759
RAM,2020-02,2/29/2020,2,90,0.022222222
RCS PHONES,2020-02,2/29/2020,2,19,0.105263158
RIS,2020-02,2/29/2020,2,116,0.017241379
SCS,2020-02,2/29/2020,2,0,#DIV/0!
WISE,2020-02,2/29/2020,2,288,0.006944444
Client Transactions,2020-03,3/31/2020,2,41,0.048780488
Participant Transactions,2020-03,3/31/2020,2,62,0.032258065
RAM,2020-03,3/31/2020,2,88,0.022727273
RCS PHONES,2020-03,3/31/2020,2,18,0.111111111
RIS,2020-03,3/31/2020,2,117,0.017094017
SCS,2020-03,3/31/2020,2,0,#DIV/0!
WISE,2020-03,3/31/2020,2,276,0.007246377
Client Transactions,2020-04,4/30/2020,2,42,0.047619048
Participant Transactions,2020-04,4/30/2020,2,60,0.033333333
RAM,2020-04,4/30/2020,2,85,0.023529412
RCS PHONES,2020-04,4/30/2020,2,18,0.111111111
RIS,2020-04,4/30/2020,2,112,0.017857143
SCS,2020-04,4/30/2020,2,0,#DIV/0!
WISE,2020-04,4/30/2020,2,269,0.007434944
Client Transactions,2020-05,5/31/2020,2,41,0.048780488
Participant Transactions,2020-05,5/31/2020,2,61,0.032786885
RAM,2020-05,5/31/2020,2,90,0.022222222
RCS PHONES,2020-05,5/31/2020,2,20,0.1
RIS,2020-05,5/31/2020,2,121,0.016528926
SCS,2020-05,5/31/2020,2,0,#DIV/0!
WISE,2020-05,5/31/2020,2,267,0.007490637
Client Transactions,2020-06,6/30/2020,2,41,0.048780488
Participant Transactions,2020-06,6/30/2020,2,59,0.033898305
RAM,2020-06,6/30/2020,2,90,0.022222222
RCS PHONES,2020-06,6/30/2020,2,20,0.1
RIS,2020-06,6/30/2020,2,117,0.017094017
SCS,2020-06,6/30/2020,2,0,#DIV/0!
WISE,2020-06,6/30/2020,2,262,0.007633588
Client Transactions,2020-07,7/31/2020,2,42,0.047619048
Participant Transactions,2020-07,7/31/2020,2,71,0.028169014
RAM,2020-07,7/31/2020,2,89,0.02247191
RCS PHONES,2020-07,7/31/2020,2,20,0.1
RIS,2020-07,7/31/2020,2,112,0.017857143
SCS,2020-07,7/31/2020,2,0,#DIV/0!
WISE,2020-07,7/31/2020,2,248,0.008064516
Client Transactions,2020-08,8/31/2020,2,41,0.048780488
Participant Transactions,2020-08,8/31/2020,2,68,0.029411765
RAM,2020-08,8/31/2020,2,88,0.022727273
RCS PHONES,2020-08,8/31/2020,2,21,0.095238095
RIS,2020-08,8/31/2020,2,100,0.02
SCS,2020-08,8/31/2020,2,0,#DIV/0!
WISE,2020-08,8/31/2020,2,266,0.007518797
Client Transactions,2020-09,9/30/2020,2,41,0.048780488
Participant Transactions,2020-09,9/30/2020,2,67,0.029850746
RAM,2020-09,9/30/2020,2,103,0.019417476
RCS PHONES,2020-09,9/30/2020,2,22,0.090909091
RIS,2020-09,9/30/2020,2,94,0.021276596
SCS,2020-09,9/30/2020,2,0,#DIV/0!
WISE,2020-09,9/30/2020,2,283,0.007067138
Client Transactions,2020-10,10/31/2020,2,42,0.047619048
Participant Transactions,2020-10,10/31/2020,2,63,0.031746032
RAM,2020-10,10/31/2020,2,100,0.02
RCS PHONES,2020-10,10/31/2020,2,21,0.095238095
RIS,2020-10,10/31/2020,2,87,0.022988506
SCS,2020-10,10/31/2020,2,0,#DIV/0!
WISE,2020-10,10/31/2020,2,279,0.007168459
Client Transactions,2020-11,11/30/2020,2,43,0.046511628
Participant Transactions,2020-11,11/30/2020,2,61,0.032786885
RAM,2020-11,11/30/2020,2,98,0.020408163
RCS PHONES,2020-11,11/30/2020,2,22,0.090909091
RIS,2020-11,11/30/2020,2,79,0.025316456
SCS,2020-11,11/30/2020,2,0,#DIV/0!
WISE,2020-11,11/30/2020,2,283,0.007067138
Client Transactions,2020-12,12/7/2020,2,0,#DIV/0!
Participant Transactions,2020-12,12/7/2020,2,0,#DIV/0!
RAM,2020-12,12/7/2020,2,0,#DIV/0!
RCS PHONES,2020-12,12/7/2020,2,0,#DIV/0!
RIS,2020-12,12/7/2020,2,0,#DIV/0!
SCS,2020-12,12/7/2020,2,0,#DIV/0!
WISE,2020-12,12/7/2020,2,0,#DIV/0!